source,split,folder,filename,person_index,n_annotators,raw_categories_majority,emotion_classes,dropped_categories,bbox,label_status,reviewer_note
emotic,train,mscoco/images,COCO_train2014_000000006590.jpg,0,1,Engagement,,Engagement,188.0;109.0;381.0;382.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000122997.jpg,0,1,Engagement,,Engagement,246.0;63.0;458.0;380.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_k245twaqc30i5imc.jpg,0,1,Engagement,,Engagement,34.0;26.0;499.0;304.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_fjgek3oeqc8r0e3o.jpg,0,1,Engagement,,Engagement,497.0;89.0;625.0;436.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_95x221h7yj814qxc.jpg,0,1,Engagement,,Engagement,2035.0;654.0;2176.0;921.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000094268.jpg,0,1,Engagement,,Engagement,371.0;41.0;468.0;349.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000055276.jpg,0,1,Engagement,,Engagement,299.0;58.0;517.0;469.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_erwzk3npaleubsqm.jpg,0,1,Engagement,,Engagement,415.0;144.0;449.0;267.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_erwzk3npaleubsqm.jpg,2,1,Engagement,,Engagement,187.0;151.0;218.0;263.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000549216.jpg,0,1,Engagement,,Engagement,243.0;79.0;529.0;438.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000528657.jpg,0,1,Engagement,,Engagement,191.0;84.0;342.0;293.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_b1v3bzyq8s4ucvy1.jpg,2,1,Engagement,,Engagement,4051.0;981.0;5476.0;3579.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000552054.jpg,0,1,Engagement,,Engagement,453.0;21.0;588.0;262.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000563727.jpg,0,1,Engagement,,Engagement,90.0;67.0;619.0;421.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000182785.jpg,0,1,Engagement,,Engagement,70.0;75.0;333.0;300.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_aztc78d4kjclxv9e.jpg,2,1,Engagement,,Engagement,378.0;207.0;419.0;255.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_kpokdxsxymvz4qk3.jpg,0,1,Engagement,,Engagement,585.0;1.0;959.0;499.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_08cmg83x4uc6vay4.jpg,0,1,Engagement,,Engagement,704.0;797.0;1254.0;1479.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_08cmg83x4uc6vay4.jpg,1,1,Engagement,,Engagement,2070.0;1383.0;3000.0;2447.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,0,1,Engagement,,Engagement,149.0;83.0;283.0;418.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,2,1,Engagement,,Engagement,536.0;132.0;655.0;432.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_3jwi6nrvfphi4lp6.jpg,4,1,Engagement,,Engagement,646.0;129.0;729.0;351.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000053608.jpg,0,1,Engagement,,Engagement,192.0;30.0;394.0;350.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_hzo04gqf487tm689.jpg,0,1,Engagement,,Engagement,1.0;392.0;136.0;535.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000014103.jpg,1,1,Engagement,,Engagement,458.0;111.0;591.0;424.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_bwnq9ntic9dpamg2.jpg,0,1,Engagement,,Engagement,41.0;243.0;100.0;353.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000261879.jpg,0,1,Engagement,,Engagement,34.0;77.0;407.0;352.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000167028.jpg,1,1,Engagement,,Engagement,283.0;17.0;511.0;326.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_88u3mzsacaic5583.jpg,0,1,Engagement,,Engagement,754.0;2357.0;1700.0;3347.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_hdepjixs67t3l4zo.jpg,2,1,Engagement,,Engagement,30.0;30.0;242.0;315.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000110392.jpg,0,1,Engagement,,Engagement,38.0;48.0;385.0;420.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_482f0lsguoiv0sk6.jpg,1,1,Engagement,,Engagement,267.0;32.0;364.0;233.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_ddghjgrf7k9jei5j.jpg,0,1,Engagement,,Engagement,260.0;292.0;317.0;427.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_6x5lpc7dh3yvrnc3.jpg,2,1,Engagement,,Engagement,531.0;25.0;654.0;395.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_jsnriwfd0ffphs5g.jpg,1,1,Engagement,,Engagement,385.0;380.0;515.0;512.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_63mtckpdjfc0y9q8.jpg,1,1,Engagement,,Engagement,705.0;400.0;1268.0;2007.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000147012.jpg,0,1,Engagement,,Engagement,305.0;86.0;411.0;326.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_0v2clxpnah9oj514.jpg,0,1,Engagement,,Engagement,54.0;6.0;314.0;405.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_val2014_000000160480.jpg,0,1,Engagement,,Engagement,247.0;48.0;488.0;318.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000028642.jpg,0,1,Engagement,,Engagement,267.0;25.0;551.0;428.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_1cnsgmoppetoruv9.jpg,1,1,Engagement,,Engagement,554.0;327.0;716.0;599.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_1cnsgmoppetoruv9.jpg,3,1,Engagement,,Engagement,236.0;378.0;420.0;567.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000336858.jpg,0,1,Engagement,,Engagement,138.0;35.0;427.0;264.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_ek3zcwpt9ed6j6gm.jpg,1,1,Engagement,,Engagement,1252.0;843.0;1333.0;1094.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_4b7yta6mg9sm2x6n.jpg,1,1,Surprise,,Surprise,662.0;358.0;777.0;616.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000025461.jpg,0,1,Engagement,,Engagement,30.0;83.0;147.0;426.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000025461.jpg,2,1,Engagement,,Engagement,113.0;89.0;240.0;434.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000256276.jpg,0,1,Engagement,,Engagement,75.0;41.0;317.0;472.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000042312.jpg,0,1,Engagement,,Engagement,61.0;25.0;586.0;505.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,ade20k/images,sun_ajjqvlkgojhqxjal.jpg,0,1,Engagement,,Engagement,1196.0;116.0;1808.0;1219.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000230061.jpg,0,1,Engagement,,Engagement,161.0;197.0;274.0;479.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000030299.jpg,0,1,Engagement,,Engagement,368.0;109.0;528.0;356.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_4pnnwfq2nvd0l7sk.jpg,0,1,Engagement,,Engagement,268.0;105.0;319.0;213.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000178411.jpg,0,1,Engagement,,Engagement,132.0;189.0;278.0;467.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000178411.jpg,1,1,Engagement,,Engagement,266.0;149.0;373.0;431.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_a7xhjxzcp8nhw69p.jpg,0,1,Engagement,,Engagement,2130.0;88.0;3214.0;2394.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_fq5auwuqb7gh7kn6.jpg,1,1,Engagement,,Engagement,289.0;164.0;469.0;300.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000567082.jpg,0,1,Engagement,,Engagement,465.0;138.0;628.0;364.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000567082.jpg,1,1,Engagement,,Engagement,351.0;200.0;469.0;423.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,mscoco/images,COCO_train2014_000000147568.jpg,0,1,Engagement,,Engagement,118.0;98.0;396.0;472.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_gko26fo2wzz06i1r.jpg,0,1,Engagement,,Engagement,83.0;98.0;233.0;439.0,reconstructed_approx,excluded_no_mapped_emotion_class
emotic,train,framesdb/images,frame_gko26fo2wzz06i1r.jpg,2,1,Engagement,,Engagement,274.0;118.0;379.0;426.0,reconstructed_approx,excluded_no_mapped_emotion_class
