threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.21,0.6785714285714286,0.0,0.0,0.0,,,,0.3214285714285714,,,0.6785714285714286,57,27,0,0,84,0,84,gru_all,valid,attack_type,live
0.21,0.96,1.0,0.96,0.979591836734694,,,0.04,,0.04,0.96,,0,0,1,24,25,25,0,gru_all,valid,attack_type,print
0.21,0.9333333333333332,1.0,0.9333333333333332,0.9655172413793104,,,0.0666666666666666,,0.0666666666666666,0.9333333333333332,,0,0,4,56,60,60,0,gru_all,valid,attack_type,replay
0.21,0.9642857142857144,1.0,0.9642857142857144,0.9818181818181818,,,0.0357142857142857,,0.0357142857142857,0.9642857142857144,,0,0,1,27,28,28,0,gru_all,valid,source_group,ATK_external_clip
0.21,0.3333333333333333,0.0,0.0,0.0,,,,0.6666666666666666,,,0.3333333333333333,4,8,0,0,12,0,12,gru_all,valid,source_group,R_live_clip
0.21,0.8217054263565892,0.7361111111111112,0.9298245614035088,0.8217054263565892,0.8886452241715399,0.8436505238511729,0.0701754385964912,0.2638888888888889,0.0701754385964912,0.9298245614035088,0.7361111111111112,53,19,4,53,129,57,72,gru_all,valid,source_group,S_dataset_sequence
0.21,0.7204301075268817,0.0,0.0,0.0,,,,0.2795698924731182,,,0.7204301075268817,67,26,0,0,93,0,93,gru_all,test,attack_type,live
0.21,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629628,,,0.0714285714285714,,0.0714285714285714,0.9285714285714286,,0,0,2,26,28,28,0,gru_all,test,attack_type,print
0.21,0.9193548387096774,1.0,0.9193548387096774,0.957983193277311,,,0.0806451612903225,,0.0806451612903225,0.9193548387096774,,0,0,5,57,62,62,0,gru_all,test,attack_type,replay
0.21,0.9375,1.0,0.9375,0.967741935483871,,,0.0625,,0.0625,0.9375,,0,0,2,30,32,32,0,gru_all,test,source_group,ATK_external_clip
0.21,0.0476190476190476,0.0,0.0,0.0,,,,0.9523809523809524,,,0.0476190476190476,1,20,0,0,21,0,21,gru_all,test,source_group,R_live_clip
0.21,0.9153846153846154,0.8983050847457628,0.913793103448276,0.905982905982906,0.9367816091954024,0.8989559344542126,0.0862068965517241,0.0833333333333333,0.0862068965517241,0.913793103448276,0.9166666666666666,66,6,5,53,130,58,72,gru_all,test,source_group,S_dataset_sequence
