feature,d_rlive_vs_replay,d_sdataset_vs_replay,rlive_mean,replay_mean,sdataset_mean
cy_rel,-0.0203983754033606,-0.051711875476140715,-2.9003804e-05,-6.302046e-06,-8.564849e-05
pitch_vel_tn,0.042516596276955004,0.24480771712458957,-0.0003496138,-0.0005336501,3.1613527e-05
mar_vel_tn,-0.055226961672073326,0.03629459750942917,-6.006203e-05,-6.3556336e-06,1.3816591e-05
cx_rel,0.06670521822339698,-0.053899524824200636,0.00015490831,-1.7427195e-05,-0.00014994205
nose_y_rel,-0.10392812171068504,-0.03481702079622549,3.8844226e-11,0.00025673787,0.00014469268
nose_x_rel,0.1100251652134113,-0.0516966783454095,0.00026973282,-0.00015436893,-0.0003586171
center_dy_tn,-0.12147887445330455,0.21334952243701177,-0.000273317,-0.00012848945,2.2968634e-06
ear_vel_tn,0.18860331682821335,-0.3717218814890612,0.0016374082,0.000812389,-1.7176211e-05
yaw,0.23444998139540194,-0.2053677962533526,0.06904978,0.047718816,0.025852246
roll_vel_tn,-0.2610638947666764,0.444133109217087,-0.07689378,-0.03841171,7.3401796e-05
nose_dy_tn,0.26711231315910156,-0.20581691011800599,0.0007088099,0.00020538652,9.762583e-07
roll,-0.2726725036929645,-0.15827616663898533,-0.3096175,-0.00029999917,-0.1234995
pitch,-0.3753591037069366,-0.13685643015691765,-0.050815906,-0.009560944,-0.026559949
mar,-0.6093496137298805,0.052012672942183806,0.0082063265,0.029264687,0.031358693
center_dx_tn,-0.6620675290089181,0.8706847115915743,-0.00775466,-0.0032967497,-1.3013456e-05
yaw_vel_tn,-0.6874864589690769,0.8716066596752311,-0.026148666,-0.010874118,-4.808517e-05
nose_dx_tn,-0.6886246235875089,0.8716516664354974,-0.013060845,-0.0054251403,-2.4028492e-05
smile_w,-0.7185422201980166,0.5881139812596271,0.33423978,0.35762748,0.3766923
ear,0.9937652951867467,0.3749903138970301,0.2932713,0.25607073,0.27002844
nose_speed_tn,1.1481440968465022,-1.0942736966656492,0.09869872,0.0395137,0.0022257415
