threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.22,0.5909090909090909,0.0,0.0,0.0,,,,0.4090909090909091,,,0.5909090909090909,52,36,0,0,88,0,88,gru_all,valid,attack_type,live
0.22,1.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,0,0,0,25,25,25,0,gru_all,valid,attack_type,print
0.22,0.921875,1.0,0.921875,0.959349593495935,,,0.078125,,0.078125,0.921875,,0,0,5,59,64,64,0,gru_all,valid,attack_type,replay
0.22,1.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,0,0,0,28,28,28,0,gru_all,valid,source_group,ATK_external_clip
0.22,0.0,0.0,0.0,0.0,,,,1.0,,,0.0,0,12,0,0,12,0,12,gru_all,valid,source_group,R_live_clip
0.22,0.813953488372093,0.7088607594936709,0.9824561403508771,0.8235294117647058,0.8723196881091618,0.8271978806583983,0.017543859649122806,0.3194444444444444,0.017543859649122806,0.9824561403508771,0.6805555555555556,49,23,1,56,129,57,72,gru_all,valid,source_group,S_dataset_sequence
0.22,0.375,0.0,0.0,0.0,0.3125,0.4511904761904762,1.0,0.25,1.0,0.0,0.75,3,1,4,0,8,4,4,gru_all,valid,source_group,unknown
0.22,0.6597938144329897,0.0,0.0,0.0,,,,0.3402061855670103,,,0.6597938144329897,64,33,0,0,97,0,97,gru_all,test,attack_type,live
0.22,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,,,0.07142857142857142,,0.07142857142857142,0.9285714285714286,,0,0,2,26,28,28,0,gru_all,test,attack_type,print
0.22,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,,,0.09090909090909091,,0.09090909090909091,0.9090909090909091,,0,0,6,60,66,66,0,gru_all,test,attack_type,replay
0.22,1.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,0,0,0,32,32,32,0,gru_all,test,source_group,ATK_external_clip
0.22,0.047619047619047616,0.0,0.0,0.0,,,,0.9523809523809523,,,0.047619047619047616,1,20,0,0,21,0,21,gru_all,test,source_group,R_live_clip
0.22,0.8615384615384616,0.803030303030303,0.9137931034482759,0.8548387096774194,0.9279214559386972,0.9053568476293073,0.08620689655172414,0.18055555555555555,0.08620689655172414,0.9137931034482759,0.8194444444444444,59,13,5,53,130,58,72,gru_all,test,source_group,S_dataset_sequence
0.22,0.625,1.0,0.25,0.4,0.8125,0.8928571428571428,0.75,0.0,0.75,0.25,1.0,4,0,3,1,8,4,4,gru_all,test,source_group,unknown
