threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.26,0.735632183908046,0.0,0.0,0.0,,,,0.26436781609195403,,,0.735632183908046,64,23,0,0,87,0,87,gru_all,valid,attack_type,live
0.26,0.96,1.0,0.96,0.9795918367346939,,,0.04,,0.04,0.96,,0,0,1,24,25,25,0,gru_all,valid,attack_type,print
0.26,0.9032258064516129,1.0,0.9032258064516129,0.9491525423728814,,,0.0967741935483871,,0.0967741935483871,0.9032258064516129,,0,0,6,56,62,62,0,gru_all,valid,attack_type,replay
0.26,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,,,0.14285714285714285,,0.14285714285714285,0.8571428571428571,,0,0,4,24,28,28,0,gru_all,valid,source_group,ATK_external_clip
0.26,0.25,0.0,0.0,0.0,,,,0.75,,,0.25,3,9,0,0,12,0,12,gru_all,valid,source_group,R_live_clip
0.26,0.8968253968253969,0.8181818181818182,0.9818181818181818,0.8925619834710744,0.9416133162612036,0.9070663659562659,0.01818181818181818,0.16901408450704225,0.01818181818181818,0.9818181818181818,0.8309859154929577,59,12,1,54,126,55,71,gru_all,valid,source_group,S_dataset_sequence
0.26,0.5,0.5,0.5,0.5,0.4375,0.525,0.5,0.5,0.5,0.5,0.5,2,2,2,2,8,4,4,gru_all,valid,source_group,unknown
0.26,0.7216494845360825,0.0,0.0,0.0,,,,0.27835051546391754,,,0.7216494845360825,70,27,0,0,97,0,97,gru_all,test,attack_type,live
0.26,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,,,0.07142857142857142,,0.07142857142857142,0.9285714285714286,,0,0,2,26,28,28,0,gru_all,test,attack_type,print
0.26,0.671875,1.0,0.671875,0.8037383177570093,,,0.328125,,0.328125,0.671875,,0,0,21,43,64,64,0,gru_all,test,attack_type,replay
0.26,0.875,1.0,0.875,0.9333333333333333,,,0.125,,0.125,0.875,,0,0,4,28,32,32,0,gru_all,test,source_group,ATK_external_clip
0.26,0.19047619047619047,0.0,0.0,0.0,,,,0.8095238095238095,,,0.19047619047619047,4,17,0,0,21,0,21,gru_all,test,source_group,R_live_clip
0.26,0.8046875,0.8297872340425532,0.6964285714285714,0.7572815533980582,0.9367559523809523,0.9105414095977172,0.30357142857142855,0.1111111111111111,0.30357142857142855,0.6964285714285714,0.8888888888888888,64,8,17,39,128,56,72,gru_all,test,source_group,S_dataset_sequence
0.26,0.5,0.5,0.5,0.5,0.5,0.5428571428571428,0.5,0.5,0.5,0.5,0.5,2,2,2,2,8,4,4,gru_all,test,source_group,unknown
