threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.21000000000000002,0.735632183908046,0.0,0.0,0.0,,,,0.26436781609195403,,,0.735632183908046,64,23,0,0,87,0,87,gru_v3_w5.0,valid,attack_type,live
0.21000000000000002,1.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,0,0,0,25,25,25,0,gru_v3_w5.0,valid,attack_type,print
0.21000000000000002,0.8225806451612904,1.0,0.8225806451612904,0.9026548672566371,,,0.1774193548387097,,0.1774193548387097,0.8225806451612904,,0,0,11,51,62,62,0,gru_v3_w5.0,valid,attack_type,replay
0.21000000000000002,0.75,1.0,0.75,0.8571428571428571,,,0.25,,0.25,0.75,,0,0,7,21,28,28,0,gru_v3_w5.0,valid,source_group,ATK_external_clip
0.21000000000000002,0.5,0.0,0.0,0.0,,,,0.5,,,0.5,6,6,0,0,12,0,12,gru_v3_w5.0,valid,source_group,R_live_clip
0.21000000000000002,0.873015873015873,0.782608695652174,0.9818181818181818,0.8709677419354839,0.9303457106274007,0.8920415422969838,0.01818181818181818,0.2112676056338028,0.01818181818181818,0.9818181818181818,0.7887323943661971,56,15,1,54,126,55,71,gru_v3_w5.0,valid,source_group,S_dataset_sequence
0.21000000000000002,0.375,0.3333333333333333,0.25,0.2857142857142857,0.4375,0.5178571428571428,0.75,0.5,0.75,0.25,0.5,2,2,3,1,8,4,4,gru_v3_w5.0,valid,source_group,unknown
0.21000000000000002,0.7422680412371134,0.0,0.0,0.0,,,,0.25773195876288657,,,0.7422680412371134,72,25,0,0,97,0,97,gru_v3_w5.0,test,attack_type,live
0.21000000000000002,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,,,0.07142857142857142,,0.07142857142857142,0.9285714285714286,,0,0,2,26,28,28,0,gru_v3_w5.0,test,attack_type,print
0.21000000000000002,0.71875,1.0,0.71875,0.8363636363636363,,,0.28125,,0.28125,0.71875,,0,0,18,46,64,64,0,gru_v3_w5.0,test,attack_type,replay
0.21000000000000002,0.75,1.0,0.75,0.8571428571428571,,,0.25,,0.25,0.75,,0,0,8,24,32,32,0,gru_v3_w5.0,test,source_group,ATK_external_clip
0.21000000000000002,0.3333333333333333,0.0,0.0,0.0,,,,0.6666666666666666,,,0.3333333333333333,7,14,0,0,21,0,21,gru_v3_w5.0,test,source_group,R_live_clip
0.21000000000000002,0.84375,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9208829365079365,0.8849912276351071,0.17857142857142858,0.1388888888888889,0.17857142857142858,0.8214285714285714,0.8611111111111112,62,10,10,46,128,56,72,gru_v3_w5.0,test,source_group,S_dataset_sequence
0.21000000000000002,0.625,0.6666666666666666,0.5,0.5714285714285714,0.5625,0.5845238095238094,0.5,0.25,0.5,0.5,0.75,3,1,2,2,8,4,4,gru_v3_w5.0,test,source_group,unknown
