split,threshold,weight,overall_roc_auc,overall_frr,overall_attack_block_rate,r_live_frr,r_live_n,live_overall_frr,print_block_rate,replay_block_rate
valid,0.2,8.0,0.8751486325802617,0.3333333333333333,0.8850574712643678,0.5,12,0.3333333333333333,0.96,0.8548387096774194
valid,0.25,8.0,0.8751486325802617,0.28735632183908044,0.8505747126436781,0.4166666666666667,12,0.28735632183908044,0.96,0.8064516129032258
valid,0.3,8.0,0.8751486325802617,0.26436781609195403,0.8160919540229885,0.3333333333333333,12,0.26436781609195403,0.92,0.7741935483870968
valid,0.35,8.0,0.8751486325802617,0.25287356321839083,0.7931034482758621,0.3333333333333333,12,0.25287356321839083,0.88,0.7580645161290323
valid,0.4,8.0,0.8751486325802617,0.2413793103448276,0.7701149425287356,0.3333333333333333,12,0.2413793103448276,0.88,0.7258064516129032
valid,0.45,8.0,0.8751486325802617,0.21839080459770116,0.7586206896551724,0.3333333333333333,12,0.21839080459770116,0.88,0.7096774193548387
valid,0.5,8.0,0.8751486325802617,0.1724137931034483,0.7126436781609196,0.25,12,0.1724137931034483,0.84,0.6612903225806451
valid,0.55,8.0,0.8751486325802617,0.12643678160919541,0.6781609195402298,0.16666666666666666,12,0.12643678160919541,0.84,0.6129032258064516
valid,0.6,8.0,0.8751486325802617,0.10344827586206896,0.6206896551724138,0.08333333333333333,12,0.10344827586206896,0.84,0.532258064516129
valid,0.65,8.0,0.8751486325802617,0.09195402298850575,0.5862068965517241,0.08333333333333333,12,0.09195402298850575,0.8,0.5
valid,0.7,8.0,0.8751486325802617,0.08045977011494253,0.5402298850574713,0.08333333333333333,12,0.08045977011494253,0.72,0.46774193548387094
valid,0.75,8.0,0.8751486325802617,0.05747126436781609,0.4482758620689655,0.08333333333333333,12,0.05747126436781609,0.64,0.3709677419354839
valid,0.8,8.0,0.8751486325802617,0.04597701149425287,0.3448275862068966,0.08333333333333333,12,0.04597701149425287,0.6,0.24193548387096775
valid,0.85,8.0,0.8751486325802617,0.011494252873563218,0.25287356321839083,0.0,12,0.011494252873563218,0.56,0.12903225806451613
valid,0.9,8.0,0.8751486325802617,0.0,0.21839080459770116,0.0,12,0.0,0.52,0.0967741935483871
valid,0.95,8.0,0.8751486325802617,0.0,0.11494252873563218,0.0,12,0.0,0.4,0.0
test,0.2,8.0,0.8702375616315554,0.27835051546391754,0.8043478260869565,0.7142857142857143,21,0.27835051546391754,0.9285714285714286,0.75
test,0.25,8.0,0.8702375616315554,0.24742268041237114,0.75,0.6666666666666666,21,0.24742268041237114,0.9285714285714286,0.671875
test,0.3,8.0,0.8702375616315554,0.2268041237113402,0.7282608695652174,0.6190476190476191,21,0.2268041237113402,0.9285714285714286,0.640625
test,0.35,8.0,0.8702375616315554,0.17525773195876287,0.6956521739130435,0.38095238095238093,21,0.17525773195876287,0.8928571428571429,0.609375
test,0.4,8.0,0.8702375616315554,0.14432989690721648,0.6630434782608695,0.3333333333333333,21,0.14432989690721648,0.8928571428571429,0.5625
test,0.45,8.0,0.8702375616315554,0.14432989690721648,0.6195652173913043,0.3333333333333333,21,0.14432989690721648,0.8928571428571429,0.5
test,0.5,8.0,0.8702375616315554,0.1134020618556701,0.6195652173913043,0.2857142857142857,21,0.1134020618556701,0.8928571428571429,0.5
test,0.55,8.0,0.8702375616315554,0.1134020618556701,0.6086956521739131,0.2857142857142857,21,0.1134020618556701,0.8928571428571429,0.484375
test,0.6,8.0,0.8702375616315554,0.10309278350515463,0.6086956521739131,0.23809523809523808,21,0.10309278350515463,0.8928571428571429,0.484375
test,0.65,8.0,0.8702375616315554,0.061855670103092786,0.5869565217391305,0.14285714285714285,21,0.061855670103092786,0.8928571428571429,0.453125
test,0.7,8.0,0.8702375616315554,0.05154639175257732,0.5217391304347826,0.09523809523809523,21,0.05154639175257732,0.8214285714285714,0.390625
test,0.75,8.0,0.8702375616315554,0.030927835051546393,0.43478260869565216,0.047619047619047616,21,0.030927835051546393,0.7857142857142857,0.28125
test,0.8,8.0,0.8702375616315554,0.030927835051546393,0.32608695652173914,0.047619047619047616,21,0.030927835051546393,0.7142857142857143,0.15625
test,0.85,8.0,0.8702375616315554,0.010309278350515464,0.2608695652173913,0.0,21,0.010309278350515464,0.7142857142857143,0.0625
test,0.9,8.0,0.8702375616315554,0.010309278350515464,0.17391304347826086,0.0,21,0.010309278350515464,0.5714285714285714,0.0
test,0.95,8.0,0.8702375616315554,0.010309278350515464,0.11956521739130435,0.0,21,0.010309278350515464,0.39285714285714285,0.0
